region_id,geography_type,state_name,date,home_value
8,State,Arizona,2000-07-31,140559.39125312387
26,State,Massachusetts,2000-07-31,209962.67283683587
53,State,Tennessee,2000-07-31,116033.3826959196
22,State,Indiana,2000-07-31,99683.843217062
27,State,Maryland,2000-07-31,156784.183601852
32,State,Missouri,2000-07-31,101845.39426736526
60,State,Wisconsin,2000-07-31,126045.06009271277
10,State,Colorado,2000-07-31,189232.55785501716
31,State,Minnesota,2000-07-31,133526.86344422822
51,State,South Carolina,2000-07-31,118857.73867344532
4,State,Alabama,2000-07-31,104205.39207459432
25,State,Louisiana,2000-07-31,113939.49197689992
24,State,Kentucky,2000-07-31,93228.04441402554
46,State,Oregon,2000-07-31,157450.41530705398
45,State,Oklahoma,2000-07-31,86682.23216258256
11,State,Connecticut,2000-07-31,171664.57306057843
55,State,Utah,2000-07-31,176575.81686915227
19,State,Iowa,2000-07-31,95369.52797800006
42,State,Nevada,2000-07-31,160686.95741900866
6,State,Arkansas,2000-07-31,91681.54772991354
34,State,Mississippi,2000-07-31,92601.87003070944
23,State,Kansas,2000-07-31,92554.83120488182
41,State,New Mexico,2000-07-31,
38,State,Nebraska,2000-07-31,119448.63793408898
20,State,Idaho,2000-07-31,128252.8788788736
61,State,West Virginia,2000-07-31,75715.41570357492
18,State,Hawaii,2000-07-31,199262.99343026988
39,State,New Hampshire,2000-07-31,142511.96437894533
28,State,Maine,2000-07-31,114001.38372784515
50,State,Rhode Island,2000-07-31,141687.54915655454
35,State,Montana,2000-07-31,
13,State,Delaware,2000-07-31,155177.05749366438
52,State,South Dakota,2000-07-31,108918.36840370877
37,State,North Dakota,2000-07-31,
3,State,Alaska,2000-07-31,139903.38675976745
12,State,District of Columbia,2000-07-31,171625.57343562169
58,State,Vermont,2000-07-31,122488.30476682058
62,State,Wyoming,2000-07-31,
9,State,California,2000-08-31,204185.0373265414
54,State,Texas,2000-08-31,116563.539893926
14,State,Florida,2000-08-31,113360.0062058292
43,State,New York,2000-08-31,160842.64043031892
47,State,Pennsylvania,2000-08-31,104334.12333004006
21,State,Illinois,2000-08-31,136481.31036331065
44,State,Ohio,2000-08-31,110169.8415809282
16,State,Georgia,2000-08-31,133102.9704904206
36,State,North Carolina,2000-08-31,134813.6533719533
30,State,Michigan,2000-08-31,123828.3748484869
40,State,New Jersey,2000-08-31,179739.706185799
56,State,Virginia,2000-08-31,131205.84416978937
59,State,Washington,2000-08-31,184172.1995613269
8,State,Arizona,2000-08-31,141208.58830350175
26,State,Massachusetts,2000-08-31,212651.08972499488
53,State,Tennessee,2000-08-31,116333.66634288582
22,State,Indiana,2000-08-31,100180.71339116983
27,State,Maryland,2000-08-31,157517.8397275677
32,State,Missouri,2000-08-31,102512.92831096196
60,State,Wisconsin,2000-08-31,126729.2442714694
10,State,Colorado,2000-08-31,191334.18292015753
31,State,Minnesota,2000-08-31,135327.7506009366
51,State,South Carolina,2000-08-31,119385.47689626378
4,State,Alabama,2000-08-31,104508.13502616576
25,State,Louisiana,2000-08-31,114276.88354314477
24,State,Kentucky,2000-08-31,93632.43162656516
46,State,Oregon,2000-08-31,157930.14031575073
45,State,Oklahoma,2000-08-31,87047.59778377273
11,State,Connecticut,2000-08-31,172898.6910884355
55,State,Utah,2000-08-31,177186.99730073396
19,State,Iowa,2000-08-31,95722.13479932888
42,State,Nevada,2000-08-31,161165.7066617258
6,State,Arkansas,2000-08-31,91985.96335725197
34,State,Mississippi,2000-08-31,93005.3345813263
23,State,Kansas,2000-08-31,92934.42594288485
41,State,New Mexico,2000-08-31,
38,State,Nebraska,2000-08-31,119675.326922314
20,State,Idaho,2000-08-31,128656.14852023704
61,State,West Virginia,2000-08-31,76057.48827136827
18,State,Hawaii,2000-08-31,200593.5072442102
39,State,New Hampshire,2000-08-31,144084.72238474435
28,State,Maine,2000-08-31,114855.55740758283
50,State,Rhode Island,2000-08-31,142579.8274881961
35,State,Montana,2000-08-31,
13,State,Delaware,2000-08-31,156013.22712626948
52,State,South Dakota,2000-08-31,108756.87577664094
37,State,North Dakota,2000-08-31,
3,State,Alaska,2000-08-31,140107.02525860362
12,State,District of Columbia,2000-08-31,173205.9362553731
58,State,Vermont,2000-08-31,123171.0665146856
62,State,Wyoming,2000-08-31,
9,State,California,2000-09-30,206795.1407051784
54,State,Texas,2000-09-30,116844.02361518366
14,State,Florida,2000-09-30,114043.12796427964
43,State,New York,2000-09-30,161731.08652375973
47,State,Pennsylvania,2000-09-30,104788.45004334302
21,State,Illinois,2000-09-30,137787.20072783506
44,State,Ohio,2000-09-30,110693.69625001104
16,State,Georgia,2000-09-30,134007.0002652681
36,State,North Carolina,2000-09-30,135291.26961335292
30,State,Michigan,2000-09-30,124705.0924464196
40,State,New Jersey,2000-09-30,181559.78900403497
56,State,Virginia,2000-09-30,132166.0194582061
59,State,Washington,2000-09-30,184963.3382080689
8,State,Arizona,2000-09-30,141926.5960008546
26,State,Massachusetts,2000-09-30,215672.02543794503
53,State,Tennessee,2000-09-30,116692.43384866408
22,State,Indiana,2000-09-30,100568.9789146713
27,State,Maryland,2000-09-30,158267.65020421476
32,State,Missouri,2000-09-30,103185.04608097718
60,State,Wisconsin,2000-09-30,127414.60337710188
10,State,Colorado,2000-09-30,193540.39235381628
31,State,Minnesota,2000-09-30,137189.49987514422
51,State,South Carolina,2000-09-30,119930.29495417788
4,State,Alabama,2000-09-30,104832.8814571593
25,State,Louisiana,2000-09-30,114661.13844913286
24,State,Kentucky,2000-09-30,94081.26614470968
46,State,Oregon,2000-09-30,158333.52714299047
45,State,Oklahoma,2000-09-30,87379.7215618436
11,State,Connecticut,2000-09-30,174198.10103947044
55,State,Utah,2000-09-30,177721.39024049995
19,State,Iowa,2000-09-30,96089.94359664193
42,State,Nevada,2000-09-30,161741.89930672027
6,State,Arkansas,2000-09-30,92330.27175640478
34,State,Mississippi,2000-09-30,93364.74786270763
